# nu	S
354.94 0.0107791420205
366.45 0.0107985278547
367.8 0.0108177858841
370.38 0.0108368020081
384.39 0.01085455657
389.27 0.0108718915746
391.39 0.0108890473954
711.43 0.0108925022249
714.75 0.0108958985166
715.33 0.0108992846807
717.97 0.0109026251137
732.27 0.0109057280216
732.41 0.0109088286868
737.49 0.0109118490254
738.59 0.0109148522372
868.71 0.0109163737199
871.06 0.0109178764391
875.68 0.0109193429237
877.76 0.0109207933734
1129.98 0.0109211671976
1130.35 0.010921540268
1131.27 0.0109219114703
1132.52 0.0109222801492
1486.83 0.0109223318564
1493.65 0.0109223816192
1526.62 0.010922422955
1543.18 0.0109224606073
1551.38 0.0109224965579
1553.34 0.010922532113
1615.92 0.0109225570745
1640.67 0.0109225787696
67.92 0.0110211818751
73.4 0.0111157549639
82.02 0.0112045802506
93.73 0.0112865345622
131.24 0.011351424079
140.93 0.0114127707068
149.02 0.0114713633331
154.16 0.0115282932681
160.24 0.0115833369894
171.23 0.0116351741636
176.15 0.0116856537051
188.04 0.0117330322105
189.86 0.0117799571024
195.25 0.0118255693746
202.54 0.0118694762139
206.71 0.0119124417956
217.52 0.011953075963
230.27 0.0119911464166
238.01 0.0120277506262
251.5 0.0120619480785
256.05 0.0120953737
269.69 0.0121265972899
278.16 0.0121565327499
285.35 0.0121854193149
323.17 0.0122093900539
332.91 0.0122322410045
336.95 0.0122546433178
344.46 0.0122762353381
351.15 0.0122971306017
355.57 0.0123175780391
357.8 0.0123378032236
366.14 0.0123572185254
371.04 0.0123761732567
377.54 0.0123945338496
390.9 0.0124117309215
392.44 0.0124287986777
712.43 0.0124322357735
713.74 0.0124356497712
715.91 0.0124390258367
716.37 0.0124423939138
732.74 0.0124454892988
733.3 0.0124485757434
737.43 0.0124515970189
738.02 0.0124546090937
871.34 0.0124561095923
873.28 0.0124575947928
874.66 0.0124590692034
876.66 0.0124605281118
1130.37 0.0124609011414
1130.67 0.012461273561
1130.88 0.012461645554
1131.62 0.0124620160481
1493.37 0.0124620658892
1499.94 0.0124621139228
1512.76 0.0124621586138
1517.92 0.0124622020254
1571.26 0.0124622341595
1585.18 0.0124622638629
1602.03 0.0124622908663
1621.98 0.0124623149856
67.92 0.0125609180911
73.4 0.0126554911799
82.02 0.0127443164666
93.73 0.0128262707782
131.24 0.012891160295
140.93 0.0129525069228
149.02 0.0130110995491
154.16 0.0130680294841
160.24 0.0131230732055
171.23 0.0131749103796
176.15 0.0132253899211
188.04 0.0132727684265
189.86 0.0133196933184
195.25 0.0133653055906
202.54 0.0134092124299
206.71 0.0134521780116
217.52 0.0134928121791
230.27 0.0135308826326
238.01 0.0135674868422
251.5 0.0136016842945
256.05 0.013635109916
269.69 0.0136663335059
278.16 0.0136962689659
285.35 0.0137251555309
323.17 0.0137491262699
332.91 0.0137719772205
336.95 0.0137943795338
344.46 0.0138159715541
351.15 0.0138368668177
355.57 0.0138573142551
357.8 0.0138775394396
366.14 0.0138969547414
371.04 0.0139159094728
377.54 0.0139342700656
390.9 0.0139514671375
392.44 0.0139685348937
712.43 0.0139719719895
713.74 0.0139753859872
715.91 0.0139787620527
716.37 0.0139821301298
732.74 0.0139852255148
